epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.857,2.18688,4.98867,1.60055,0.00218,0.4086,0.08664,0.04992,2.02989,5.18314,1.51687,0.000657895,0.000657895,0.000657895
2,330.048,2.15462,3.94243,1.5653,0.16209,0.1828,0.09105,0.03655,2.49063,5.00551,1.99149,0.00129834,0.00129834,0.00129834
3,524.463,2.20389,3.32192,1.60488,0.35665,0.2146,0.13788,0.06677,2.23412,3.6129,2.03246,0.00191238,0.00191238,0.00191238
4,709.227,2.11039,2.86887,1.55031,0.32412,0.1828,0.13093,0.07213,2.3533,3.72936,2.98441,0.0018812,0.0018812,0.0018812
5,893.201,2.1333,2.67546,1.61414,0.38565,0.25806,0.19288,0.07848,2.35819,3.72071,1.96463,0.0018416,0.0018416,0.0018416
6,1081.58,2.14995,2.47413,1.63035,0.27503,0.23656,0.16961,0.07626,2.26208,3.22758,1.85392,0.001802,0.001802,0.001802
7,1271.86,2.04281,2.34727,1.50966,0.42361,0.26081,0.18945,0.09294,2.23333,3.63937,1.85243,0.0017624,0.0017624,0.0017624
8,1456.5,1.88413,2.0864,1.47237,0.35311,0.31183,0.18917,0.09249,2.288,3.08443,1.84727,0.0017228,0.0017228,0.0017228
9,1641.81,1.85934,2.01706,1.45026,0.45794,0.2907,0.26623,0.14511,1.93684,2.62104,1.70034,0.0016832,0.0016832,0.0016832
10,1824.24,1.85859,2.011,1.44148,0.36836,0.27957,0.20312,0.10778,2.14147,2.65262,1.76868,0.0016436,0.0016436,0.0016436
11,2005.71,1.80882,1.91923,1.40966,0.51357,0.30108,0.27283,0.14048,2.06194,2.46578,1.74385,0.001604,0.001604,0.001604
12,2189.99,1.80246,1.79161,1.40088,0.43531,0.30108,0.24216,0.12119,2.1772,2.56861,1.84626,0.0015644,0.0015644,0.0015644
13,2374.16,1.68799,1.81836,1.35931,0.49327,0.34409,0.27763,0.13694,1.94958,2.33428,1.66658,0.0015248,0.0015248,0.0015248
14,2559.2,1.72741,1.74513,1.38145,0.5733,0.29032,0.30216,0.15785,1.90637,2.35696,1.62076,0.0014852,0.0014852,0.0014852
15,2739.66,1.6617,1.67332,1.31981,0.68073,0.27957,0.30663,0.15931,2.03837,2.19976,1.76981,0.0014456,0.0014456,0.0014456
16,2916.92,1.67847,1.63291,1.36735,0.5164,0.3871,0.37399,0.20502,2.03153,2.15777,1.77241,0.001406,0.001406,0.001406
17,3099.06,1.63781,1.64778,1.33234,0.58021,0.35484,0.31117,0.16195,1.93355,2.2953,1.70921,0.0013664,0.0013664,0.0013664
18,3287.67,1.68429,1.6529,1.3636,0.47395,0.39785,0.2891,0.16223,1.82965,2.26134,1.59879,0.0013268,0.0013268,0.0013268
19,3473.46,1.61187,1.53213,1.30221,0.36237,0.36559,0.25609,0.13972,1.88121,2.79058,1.68728,0.0012872,0.0012872,0.0012872
20,3655.88,1.55763,1.49249,1.25638,0.48782,0.34409,0.2939,0.16097,1.88492,2.17561,1.6856,0.0012476,0.0012476,0.0012476
21,3834.27,1.62858,1.56004,1.32732,0.47384,0.3871,0.32985,0.16947,1.96218,2.22236,1.70047,0.001208,0.001208,0.001208
22,4026.93,1.59248,1.47175,1.29366,0.64477,0.34409,0.3453,0.18432,1.87863,2.0723,1.6195,0.0011684,0.0011684,0.0011684
23,4215.76,1.48031,1.38274,1.25165,0.57962,0.37634,0.35794,0.19664,1.84031,2.16066,1.58806,0.0011288,0.0011288,0.0011288
24,4412.99,1.48165,1.35249,1.23184,0.63805,0.3871,0.42212,0.22278,1.83947,1.96725,1.62839,0.0010892,0.0010892,0.0010892
25,4619.91,1.45044,1.22327,1.23628,0.5707,0.44086,0.38729,0.21198,1.81382,1.99546,1.62075,0.0010496,0.0010496,0.0010496
26,4818.74,1.50421,1.34281,1.24603,0.56782,0.4086,0.38328,0.21735,1.78174,1.99914,1.6028,0.00101,0.00101,0.00101
27,5015.91,1.41848,1.25899,1.22165,0.63063,0.37634,0.37606,0.20385,1.76336,2.15401,1.64529,0.0009704,0.0009704,0.0009704
28,5215.64,1.40636,1.19639,1.19454,0.50611,0.35484,0.33109,0.18756,1.87873,2.11697,1.66906,0.0009308,0.0009308,0.0009308
29,5418.49,1.39078,1.20793,1.20041,0.58944,0.4086,0.38005,0.21298,1.77519,1.96117,1.57256,0.0008912,0.0008912,0.0008912
30,5622.33,1.37265,1.20895,1.19976,0.54706,0.37634,0.3427,0.19949,1.81166,2.06373,1.64283,0.0008516,0.0008516,0.0008516
31,5811.59,1.35047,1.20326,1.16295,0.68468,0.35484,0.37416,0.22856,1.76531,2.21627,1.56403,0.000812,0.000812,0.000812
32,5997.32,1.34694,1.14166,1.16592,0.60773,0.41935,0.3929,0.21621,1.79762,2.05828,1.55288,0.0007724,0.0007724,0.0007724
33,6184.42,1.29985,1.105,1.1533,0.5102,0.37634,0.34047,0.1925,1.82219,2.18184,1.58133,0.0007328,0.0007328,0.0007328
34,6368.82,1.35763,1.10095,1.15972,0.55053,0.3871,0.36953,0.21037,1.85367,2.03829,1.65603,0.0006932,0.0006932,0.0006932
35,6556.88,1.38371,1.17036,1.17792,0.64601,0.34409,0.36416,0.2098,1.8489,2.09579,1.65276,0.0006536,0.0006536,0.0006536
36,6744.77,1.2792,1.08015,1.13109,0.67198,0.35249,0.38034,0.20375,1.86687,2.1216,1.69069,0.000614,0.000614,0.000614
37,6932.52,1.29811,1.06638,1.13769,0.53038,0.41935,0.39186,0.21632,1.81094,1.99853,1.62292,0.0005744,0.0005744,0.0005744
38,7119.49,1.23345,0.98885,1.10058,0.63466,0.36559,0.37728,0.21732,1.8067,1.98377,1.6343,0.0005348,0.0005348,0.0005348
39,7306.67,1.22822,1.04944,1.12098,0.56946,0.4086,0.39521,0.22067,1.85091,1.9107,1.68928,0.0004952,0.0004952,0.0004952
40,7496.46,1.23933,0.98436,1.10341,0.52529,0.43011,0.37177,0.20543,1.86332,2.07078,1.7066,0.0004556,0.0004556,0.0004556
41,7684.85,1.16571,0.92121,1.13334,0.59658,0.39785,0.39408,0.22278,1.76368,1.89279,1.63087,0.000416,0.000416,0.000416
42,7871.18,1.09451,0.83667,1.07014,0.49761,0.3871,0.3807,0.20985,1.78452,2.03041,1.64742,0.0003764,0.0003764,0.0003764
43,8058.52,1.01617,0.75809,1.03783,0.63876,0.35484,0.41203,0.23103,1.76442,1.96308,1.65132,0.0003368,0.0003368,0.0003368
44,8248.83,1.03968,0.76387,1.04423,0.60558,0.43011,0.43829,0.24172,1.85825,1.91115,1.70524,0.0002972,0.0002972,0.0002972
45,8439.98,1.01294,0.75344,1.0337,0.63076,0.42251,0.43064,0.24361,1.82984,1.89524,1.6696,0.0002576,0.0002576,0.0002576
46,8632.9,1.01454,0.73594,1.03492,0.71574,0.37908,0.41001,0.23728,1.82388,1.97851,1.68225,0.000218,0.000218,0.000218
47,8821.71,0.98151,0.70957,1.0382,0.68326,0.3871,0.42146,0.23912,1.81246,2.02938,1.65876,0.0001784,0.0001784,0.0001784
