epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1747,2.29037,5.16587,1.6592,0.00115,0.35484,0.00106,0.00056,2.12738,6.22199,1.68309,0.000649123,0.000649123,0.000649123
2,35.4523,2.13385,4.07673,1.55116,0.0022,0.3871,0.0483,0.0162,2.1749,4.97943,1.77247,0.00128974,0.00128974,0.00128974
3,48.196,2.13329,3.31559,1.53097,0.1531,0.31183,0.10335,0.03577,2.29114,5.9603,1.9063,0.00190395,0.00190395,0.00190395
4,61.0675,2.05223,2.88607,1.56531,0.46374,0.26882,0.16308,0.07442,2.08793,4.5688,1.78453,0.0018812,0.0018812,0.0018812
5,72.7964,2.09165,2.6683,1.57993,0.0191,0.22581,0.00891,0.00421,2.26311,9.28114,2.18899,0.0018416,0.0018416,0.0018416
6,84.5174,1.96459,2.32976,1.4942,0.2672,0.24731,0.15366,0.07495,2.19768,3.30355,1.80293,0.001802,0.001802,0.001802
7,96.4625,1.94175,2.33464,1.45579,0.40311,0.21505,0.15756,0.07069,2.2082,3.12131,1.7116,0.0017624,0.0017624,0.0017624
8,108.01,1.93079,2.13495,1.47955,0.26041,0.23656,0.17065,0.08351,2.03746,3.32088,1.68772,0.0017228,0.0017228,0.0017228
9,118.72,1.88568,2.10152,1.45979,0.38561,0.31183,0.22674,0.10399,2.06576,2.84678,1.72486,0.0016832,0.0016832,0.0016832
10,129.426,1.81821,1.94135,1.42317,0.31785,0.31183,0.19105,0.09115,2.0924,2.77769,1.70855,0.0016436,0.0016436,0.0016436
11,140.178,1.71363,1.79277,1.34974,0.46049,0.26882,0.24837,0.12938,1.99025,2.73422,1.66402,0.001604,0.001604,0.001604
12,150.942,1.73789,1.81218,1.36382,0.54672,0.31127,0.28532,0.15398,1.92624,2.5493,1.59093,0.0015644,0.0015644,0.0015644
13,161.778,1.72348,1.70902,1.35385,0.53613,0.31183,0.26958,0.13417,1.98926,2.59954,1.74865,0.0015248,0.0015248,0.0015248
14,172.581,1.67602,1.72243,1.34961,0.39489,0.4,0.29983,0.15808,1.94331,2.24106,1.63104,0.0014852,0.0014852,0.0014852
15,183.448,1.67058,1.6141,1.33257,0.40212,0.36559,0.27915,0.15383,1.94757,2.31413,1.64414,0.0014456,0.0014456,0.0014456
16,194.171,1.63247,1.56443,1.31249,0.53968,0.32258,0.29248,0.16968,1.81404,2.32703,1.5304,0.001406,0.001406,0.001406
